"product_id","product_title","product_subtitle","product_px"
"1345458","UA Vanish Seamless","Men’s  Golf Polo Shirt","$85.00"
"3022044","UA Ripple 2.0","Men’s Sportstyle Shoes","$65.00"
"3022423","UA HOVR™ Phantom","Unisex Running Shoes","$140.00"
"1345955","UA Camo Sleeve Utility T","Men’s  Hunting Long Sleeve Shirt","$30.00"
"1305003","UA Launch ArmourVent™ Cap","Men’s  Running Headwear","$25.00"
"1345822","Project Rock Tech™ ½ Zip","Men’s  Long Sleeve Shirt","$50.00"
"1343217","ColdGear® Infrared Fleece Gloves","Men’s  Glove","$30.00"
"1343244","ColdGear® Base 2.0 Crew","Men’s  Outdoor Long Sleeve Shirt","$60.00"
"1343564","UA Freedom Flag Camo","Men’s  Hunting Graphic T-Shirt","$25.00"
"1342656","UA Undeniable Duffel 4.0 Small Duffle","Duffle Bag","$40.00"
"3022205","UA HOVR™ Infinite — Wide (4E)","Men’s Running Shoes","$120.00"
"1316927","UA Enduro Cargo","Men’s  Tactical Pants & Sweatpants","$85.00"
"1320203","UA Woven Graphic Wordmark","Men’s  Shorts","$30.00"
"3000302","UA Verge 2.0 Mid GORE-TEX®","Men’s  Hiking Boots","$165.00"
"1316961","Ridge Reaper® Raider","Men’s  Hunting Pants & Sweatpants","$160.00"
"1343195","UA PrimaLoft® Ridge Reaper Hunt Beanie","Men’s  Hunting Headwear","$40.00"
"1320722","UA Unstoppable Double Knit Full Zip","Men’s  Hoodie","$75.00"
"1327648","UA RUSH™","Men’s  Leggings","$60.00"
"1316868","ColdGear® Reactor Base","Men’s  Hunting Leggings","$55.00"
"1329583","UA Big Logo","Men’s  Graphic T-Shirt","$25.00"
"1329520","UA Recover Sleepwear","Men’s  Short Sleeve Shirt","$55.00"
"3022546","UA HOVR™ Phantom/SE RNR","Men’s Running Shoes","$140.00"
"5033158","Armour Fleece® Collegiate","Men’s  Hoodie","$65.00"
"1346105","Project Rock Woven Cargo","Men’s  Pants & Sweatpants","$110.00"
"3000007","UA SpeedForm® Slingshot 2","Men’s  Running Shoes","$100.00"
"1348531","Project Rock Compression","Men’s  Shorts","$70.00"
"1305038","UA Printed Blitzing 3.0 Stretch Fit Cap","Men’s  Headwear","$25.00"
"1342663","UA Undeniable Sackpack 2.0","Bag","$25.00"
"1319932","UA Fashion Quarter","Men’s  Sock","$16.00"
"1320744","Armour Fleece® Full-Zip","Men’s  Hoodie","$60.00"
"1345776","UA Sportstyle Terry Full Zip","Men’s  Hoodie","$60.00"
"1313212","UA Field Ops","Men’s  Hunting Pants & Sweatpants","$100.00"
"1359979","UA 90s Globe","Men’s  Graphic T-Shirt","$25.00"
"1343353","UA Tactical All Season","Men’s  Tactical Jackets & Vests","$100.00"
"1327647","UA RUSH™","Men’s ¾ Leggings","$55.00"
"1345455","UA Vanish Blocked","Men’s  Golf Polo Shirt","$75.00"
"1329330","UA Phenom Crew – 3-Pack","Adult Sock","$20.00"
"1309341","UA Train No Show 2-Pack","Adult Sock","$13.00"
"1306455","UA Sportstyle Elite Cargo","Men’s  Shorts","$80.00"
"1302292","UA Rival Fleece Fitted","Men’s  Hoodie","$44.99"
"1345977","UA Whitetail Skullmatic","Men’s  Hunting Graphic T-Shirt","$25.00"
"1321420","Project Rock Cage","Men’s  Shorts","$60.00"
"1348428","UA Iso-Chill Brush Line","Men’s  Hunting Long Sleeve Shirt","$55.00"
"1290744","UA Tide Chaser","Men’s Long Sleeve Shirt","$59.99"
"1321438","ColdGear® Infrared Shield","Men’s  Jackets & Vests","$100.00"
"1264770","UA Jungle Rat","Men’s  Tactical Boots","$134.99"
"3022067","UA Harper 4 Turf","Men’s Baseball Shoes","$100.00"
"1305037","UA Heathered Blitzing 3.0 Cap","Men’s  Headwear","$25.00"
"1342920","UA Speedpocket Linerless 7''","Men’s  Running Shorts","$45.00"
"1344224","UA Stacked Wordmark","Men’s  Graphic T-Shirt","$25.00"
"1317343","UA Storm Daytona Vest","Men’s  Golf Jackets & Vests","$80.00"
"3020326","UA Slingride 2","Men’s Sportstyle Shoes","$85.00"
"1342692","ColdGear® Reactor Performance Hybrid","Men’s  Jackets & Vests","$180.00"
"1317342","UA Storm Daytona Full Zip","Men’s  Golf Jackets & Vests","$100.00"
"3022138","UA Valsetz RTS 1.5 Waterproof","Men’s Tactical Boots","$140.00"
"1279637","UA Tactical Performance","Men’s  Tactical Long Sleeve Shirt","$54.99"
"1345186","UA Run Knit Ventilated Beanie","Men’s  Running Headwear","$30.00"
"1327204","UA Knit Warm-Up","Men’s  Pants & Sweatpants","$70.00"
"1329290","UA Sportstyle Terry","Men’s  Hoodie","$45.00"
"1341937","UA Qualifier Speedpocket","Men’s  Running Pants & Sweatpants","$100.00"
"1342699","UA Unstoppable Down Parka","Men’s  Jackets & Vests","$280.00"
"1232013","UA Dominate 24 oz.","Water Bottle","$31.99"
"1327040","UA Playoff 2.0 ¼ Zip","Men’s  Golf Long Sleeve Shirt","$70.00"
"3021949","UA Charged Escape 3","Men’s Running Shoes","$90.00"
"3020675","UA Spotlight MC","Men’s Football Cleats","$110.00"
"1327646","UA RUSH™ Compression","Men’s  Shorts","$50.00"
"1345624","UA Rival Fleece Logo","Men’s  Hoodie","$40.00"
"1276598","UA Infil Hike GORE-TEX®","Men’s  Hiking Boots","$219.99"
"1343261","ColdGear® Latitude ½ Zip","Men’s Long Sleeve","$100.00"
"1311008","UA Playoff Core Stripe","Men’s  Golf","$59.99"
"1331741","UA RUSH™ Run","Men’s  Short Sleeve Shirt","$60.00"
"1329585","UA Sportstyle Left Chest","Men’s  Long Sleeve Shirt","$30.00"
"3022454","UA Forge 96 Disrupt","Unisex Sportstyle Shoes","$130.00"
"1232009","UA Draft 24 oz. Tritan Bottle with Flip Top Lid","Water Bottle","$16.99"
"1325823","UA Blitzing Blank Cap","Men’s  Headwear","$22.00"
"1350779","UA Range Unlimited Zip ","Men’s  Golf Polo Shirt","$85.00"
"1316724","Ridge Reaper® Infil WINDSTOPPER®","Men’s  Hunting Jackets & Vests","$250.00"
"1317367","ColdGear® Infrared Showdown Tapered","Men’s  Golf Pants & Sweatpants","$95.00"
"1232014","UA Beyond 18 oz.","Water Bottle","$27.99"
"1345598","UA Performance Originators Fleece Logo","Men’s  Hoodie","$80.00"
"1342658","UA Undeniable Duffel 4.0 Large Duffle","Duffle Bag","$55.00"
"1316935","UA Tactical Mock Base","Men’s  Tactical Long Sleeve Shirt","$55.00"
"1329589","UA Sportstyle Logo","Men’s  Tank Top","$25.00"
"1345601","UA Originators","Men’s  Long Sleeve Shirt","$40.00"
"1345601","UA Originators","Men’s  Long Sleeve Shirt","$40.00"
"1305017","UA Microthread Golf Mesh Cap","Men’s  Golf Headwear","$25.00"
